id,status,severity,security_severity,type,cwe,owasp_category,file,line,source_ids,snippet,exploit_rationale,recommended_fix
JS-PROD-001,confirmed,CRITICAL,9.8,SQL Injection / Authentication Bypass,CWE-89,A03:2021-Injection,routes/login.ts,34,codeql:316,"models.sequelize.query(`SELECT * FROM Users WHERE email = '${req.body.email || ''}' AND password = '${security.hash(req.body.password || '')}' AND deletedAt IS NULL`, { model: UserModel, plain: true })",Unauthenticated request body values are interpolated directly into a login SQL statement before authentication. An attacker can close the email string and alter the WHERE clause to authenticate as another user or extract user records.,"Use parameterized Sequelize replacements/bind variables for email and password hash, and add centralized schema validation. Replace MD5 password verification with Argon2id/bcrypt comparison."
JS-PROD-002,confirmed,CRITICAL,9.1,SQL Injection / Data Exfiltration,CWE-89,A03:2021-Injection,routes/search.ts,23,codeql:317,models.sequelize.query(`SELECT * FROM Products WHERE ((name LIKE '%${criteria}%' OR description LIKE '%${criteria}%') AND deletedAt IS NULL) ORDER BY name`),The public search parameter is length-limited but not parameterized or escaped. UNION-based payloads can read other tables such as Users or sqlite_master.,"Use parameterized LIKE clauses with replacements, escape wildcard characters intentionally, and return only product DTO fields."
JS-PROD-003,confirmed,CRITICAL,9.8,JWT Forgery / Hardcoded Signing Key,CWE-321,A02:2021-Cryptographic Failures,lib/insecurity.ts,23,codeql:318;dependabot:1;dependabot:10,"const privateKey = '-----BEGIN RSA PRIVATE KEY-----...'; export const authorize = (user = {}) => jwt.sign(user, privateKey, { expiresIn: '6h', algorithm: 'RS256' })","The JWT signing private key is embedded in source, and jsonwebtoken 0.4.0 is affected by verification-bypass advisories. Since role and user id are trusted from JWTs in authorization helpers, disclosure of source or key material enables minting admin/accounting tokens.","Move signing keys to a secret manager, rotate keys, upgrade jsonwebtoken to a maintained version, enforce algorithms/issuer/audience, and avoid trusting client token role claims without server-side authorization checks."
JS-PROD-004,confirmed,CRITICAL,9.0,Sensitive File and Operational Data Exposure,CWE-200,A01:2021-Broken Access Control,server.ts,277,codeql:319,"app.use('/encryptionkeys', serveIndexMiddleware, serveIndex('encryptionkeys', { icons: true, view: 'details' })); app.use('/support/logs', serveIndexMiddleware, serveIndex('logs', { icons: true, view: 'details' })); app.get('/metrics', metrics.serveMetrics())","Unauthenticated directory listings and static routes expose encryption keys, logs, order PDFs under /ftp, API documentation, and metrics. These assets can contain secrets, PII, tokens, endpoint inventory, and operational telemetry.","Remove public directory listings, serve private files only through authorized controllers, restrict metrics/docs to internal networks or auth, and move key material outside the web root."
JS-PROD-005,confirmed,CRITICAL,9.0,Mass Assignment Privilege Escalation,CWE-915,A01:2021-Broken Access Control,server.ts,500,codeql:320,"finale.resource({ model, endpoints: [`/api/${name}s`, `/api/${name}s/:id`], excludeAttributes: exclude, pagination: false })","Public POST /api/Users reaches the generated User resource. The User model includes writable role, deluxeToken, totpSecret, isActive, and profileImage fields, and registration middleware only trims email/password fields rather than allowlisting safe fields.",Replace generated public create with an explicit registration controller and DTO allowlist; force role=customer server-side and reject privileged fields.
JS-PROD-006,confirmed,CRITICAL,9.8,NoSQL Server-Side JavaScript Injection / Command Injection,CWE-94,A03:2021-Injection,routes/trackOrder.ts,18,codeql:328;dependabot:5,db.ordersCollection.find({ $where: `this.orderId === '${id}'` }),"MarsDB evaluates $where selectors through an unsafe Function constructor. The public order tracking route builds the $where JavaScript expression from a route parameter, enabling code injection when unsafe challenge mode is enabled or equivalent production config is deployed.","Remove $where entirely; query by structured fields, e.g. { orderId: id }, validate id with a strict order-id regex, and replace MarsDB or upgrade to a maintained safe datastore."
JS-PROD-007,confirmed,HIGH,8.6,"Unsafe File Upload Parsing: Zip Slip, XXE, YAML Bomb",CWE-22,A05:2021-Security Misconfiguration,routes/fileUpload.ts,42,codeql:329,"const absolutePath = path.resolve('uploads/complaints/' + fileName); entry.pipe(fs.createWriteStream('uploads/complaints/' + fileName)); libxml.parseXml(data, { noblanks: true, noent: true, nocdata: true }); yaml.load(data)","The public /file-upload route processes ZIP, XML, and YAML in memory. ZIP entry paths are joined without canonical base-directory enforcement; XML enables entity expansion; YAML load accepts complex input. These can overwrite files, disclose local files, or exhaust resources.","Require authentication/authorization, extract archives with canonical path checks under a dedicated non-web directory, disable XML external entities, use safe YAML schema/limits, and process uploads in an isolated worker with quotas."
JS-PROD-008,confirmed,HIGH,8.1,Insecure Direct Object Reference on Basket,CWE-639,A01:2021-Broken Access Control,routes/basket.ts,19,codeql:321,"const basket = await BasketModel.findOne({ where: { id }, include: [{ model: ProductModel, paranoid: false, as: 'Products' }] })","Authenticated users can request /rest/basket/:id and the route fetches solely by URL id, not by the current user's basket/UserId. Checkout similarly loads the basket by id before charging the current user.","Bind basket queries to the authenticated user, e.g. where { id, UserId: currentUser.id }, and reject mismatches before reading or checking out."
JS-PROD-009,confirmed,HIGH,8.0,Server-Side Request Forgery,CWE-918,A10:2021-Server-Side Request Forgery,routes/profileImageUrlUpload.ts,24,codeql:322,const response = await fetch(url),"An authenticated user controls imageUrl and the server fetches it without scheme/host allowlisting, DNS pinning, private-IP blocking, redirect restrictions, timeout, or response-size limit. This can reach internal services or cloud metadata endpoints.","Allowlist image hosts or require direct file upload; block private/link-local/metadata IP ranges after DNS resolution, restrict redirects, and enforce timeouts and byte limits."
JS-PROD-010,confirmed,HIGH,8.0,Plaintext Payment Card Storage,CWE-311,A02:2021-Cryptographic Failures,models/card.ts,39,codeql:323,"cardNum: { type: DataTypes.INTEGER, validate: { isInt: true, min: 1000000000000000, max: 9999999999999998 } }",The Cards table stores full PAN-equivalent card numbers as application data. Response-time masking in routes/payment.ts does not protect at-rest data or reduce PCI exposure after database compromise.,"Do not store card numbers. Use a PCI-compliant payment processor/tokenization vault and store only token, brand, and last four digits."
